Energy_Lower(MeV),Energy_Upper(MeV),Energy_Mean(MeV),Flux(n/cm²/s),Flux_Error(n/cm²/s),Flux_per_Energy(n/cm²/s/MeV),Flux_per_Energy_Error(n/cm²/s/MeV),Dose_Rate(rem/hr)
0.1,0.104713,0.102356,3.01026049139602e+18,2107182343977214,6.387142990443503e+20,4.471000093310452e+17,66354006893958.63
0.104713,0.109648,0.10718,4.102376429720765e+18,2625520915021290,8.312819513111995e+20,5.320204488391677e+17,93633476747083.59
0.109648,0.114815,0.112232,5.191917079584159e+18,3634341955708911,1.004822349445356e+21,7.033756446117491e+17,123254165185562.3
0.114815,0.120226,0.117521,6.003036129554437e+18,4502277097165828,1.109413441056078e+21,8.320600807920585e+17,148774425598213
0.120226,0.125893,0.123059,6.562009267165847e+18,4724646672359410,1.15793352164564e+21,8.337121355848607e+17,170282084128419.2
0.125893,0.131826,0.128859,6.947334382811789e+18,6738914351327436,1.170964837824338e+21,1.135835892689608e+18,189203808530689
0.131826,0.138038,0.134932,7.176864228081488e+18,5454416813341931,1.155322638132887e+21,8.78045204980994e+17,205477544710856.7
0.138038,0.144544,0.141291,7.277474745714469e+18,6404177776228733,1.118578964911536e+21,9.843494891221521e+17,219299020943742.2
0.144544,0.151356,0.14795,7.419406057155914e+18,5119390179437580,1.089167066523184e+21,7.51525275900997e+17,235484334930674.5
0.151356,0.158489,0.154923,7.446262636824302e+18,6329323241300656,1.043917375133086e+21,8.873297688631229e+17,249004879629540.2
0.158489,0.165959,0.162224,7.299742277523154e+18,4963824748715745,9.772078015425903e+20,6.645013050489615e+17,257186124449442.2
0.165959,0.17378,0.169869,7.105337043297763e+18,5400056152906300,9.084946993092658e+20,6.90455971475042e+17,263676595649772.1
0.17378,0.18197,0.177875,6.822113401762427e+18,6003459793550936,8.329808793360714e+20,7.330231738157428e+17,266522135489447.3
0.18197,0.190546,0.186258,6.442442302888777e+18,4896256150195471,7.512176192734115e+20,5.709253906477928e+17,264783210339489.3
0.190546,0.199526,0.195036,5.974843497977527e+18,5018868538301123,6.653500554540665e+20,5.588940465814159e+17,258123094692022.7
0.199526,0.20893,0.204228,5.432832410682994e+18,3965967659798585,5.77715058558379e+20,4.217319927476167e+17,246474627657049.4
0.20893,0.218776,0.213853,4.804558841468728e+18,4179966192077794,4.879706318777911e+20,4.245344497336783e+17,228659661312343.5
0.218776,0.229087,0.223931,4.237704933904157e+18,3517295095140450,4.109887434685434e+20,3.41120657078891e+17,211334574591519
0.229087,0.239883,0.234485,3.642271133339917e+18,3059507752005530,3.373722798573468e+20,2.833927150801714e+17,190112329931327.9
0.239883,0.251189,0.245536,3.022633493853193e+18,2418106795082554,2.673477351718731e+20,2.138781881374985e+17,164929037642188.9
0.251189,0.263027,0.257108,2.561695585413411e+18,2100590380038997,2.163959778183315e+20,1.774447018110318e+17,145941288135046.6
0.263027,0.275423,0.269225,2.122831578070935e+18,1655808630895329,1.712513373726154e+20,1.3357604315064e+17,126113865502518.8
0.275423,0.288403,0.281913,2.518690204415942e+18,2040139065576913,1.940439294619363e+20,1.571755828641684e+17,155837950208040.6
0.288403,0.301995,0.295199,3.135152300236036e+18,2414067271181748,2.306615877160122e+20,1.776094225413294e+17,201772499151978
0.301995,0.316228,0.309111,3.41897619697665e+18,2837750243490620,2.402147261277771e+20,1.99378222686055e+17,228590832783169.3
0.316228,0.331131,0.323679,3.596980909948165e+18,2913554537058014,2.413595188853362e+20,1.955012102971223e+17,249527284892531
0.331131,0.346737,0.338934,3.759262809155635e+18,2593891338317388,2.408857368419603e+20,1.662111584209526e+17,270247334763604.1
0.346737,0.363078,0.354907,3.976632645750678e+18,3141539790143036,2.433530778869518e+20,1.922489315306919e+17,295881691316141.9
0.363078,0.380189,0.371634,4.145846524425546e+18,3523969545761714,2.422913052671118e+20,2.05947609477045e+17,318883525865946.4
0.380189,0.398107,0.389148,4.170495713984204e+18,3294691614047521,2.327545325362321e+20,1.838760807036234e+17,331206403656508.5
0.398107,0.416869,0.407488,4.711693552290942e+18,3533770164218206,2.511295998449495e+20,1.883471998837121e+17,385890116340362.4
